,User_name,Sentiment,User_flr,sText,Text
2020-06-23 07:19:15,c_labrinos,0,258,$NKE ,"RT @InvincibleBull: $AAPL &amp; $AMZN almost $3trillion in market cap combined 😳 

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL $U…"
2020-06-23 07:19:19,c_labrinos,0,258,$NKE ,"RT @InvincibleBull: You can’t make this stuff up! 2020 what a year to be alive 

$SPY $MSFT $AMZN $FB $SBUX $JPM $CMG $JNJ $BABA $NKE $CCL…"
2020-06-23 07:20:56,007mindset,0,306,$NKE ,Good Morning 🌞 &amp; Happy Taco 🌮 Tuesday!  $NKE $SHOP $IDEX $SPCE $AAPL $DIS $TGT
2020-06-23 07:21:00,MichaelMOTTCM,0,1059,"$NKE, ","Stocks Will Try To Break Out On June 23 https://t.co/Xwm2dvWcFB $MA, $NKE, $SBUX, $MU $SPY  #stocks #StocksToTrade #stockstowatch #trading #markets"
2020-06-23 07:21:34,wilsonthetrader,0,187,"$NKE WOW, OVER 101! CALLED THIS OUT FOR A PRE EARNINGS SETUP PLAY LAST FRI, IN A DECENT SIZED POSITION, BUT I’M NOT GOING TO HOLD INTO EARNINGS..TOO RISKY..MIGHT TAKE PROFITS DEPENDING ON HOW IT OPENS AND RUN TODAY TO SECURE MY PROFITS.

MORE PLAYS AND CALL OUTS FOR YA TODAY!","$NKE wow, over 101! Called this out for a pre earnings setup play last Fri, in a decent sized position, but I’m not going to hold into earnings..too risky..might take profits depending on how it opens and run today to secure my profits.

More plays and call outs for ya today!"
2020-06-23 07:23:48,007mindset,1,306,$NKE LOOKING FOR ANOTHER 50-100% MORE GAINS FROM GRABBING &AMP; ADDING AGAIN ON THE LOW YESTERDAY FOR A SOLID ER RUN UP THIS WEEK!!,$NKE looking for another 50-100% more gains from grabbing &amp; adding again on the low yesterday for a solid ER run up this week!!
2020-06-23 07:26:19,TheMarketsDaily,1,1382,$NKE PT RAISED TO ,Nike $NKE PT Raised to $110.00 at Telsey Advisory Group https://t.co/edSUHsrpIr
2020-06-23 07:27:37,dakotafinancial,1,1519,$NKE PT RAISED TO ,Nike $NKE PT Raised to $110.00 at Telsey Advisory Group https://t.co/JlnptRV1Om
2020-06-23 07:31:25,OptionAlarm,1,2988,$NKE RAISED TO ,$NKE Raised to $113 @ Needham
2020-06-23 07:36:19,akramsrazor,0,1123,$NKE +50% SINCE SOLD. ,So just looking bk...2nd time i've passively bought blue chips at bottom of a panic(other being xmas eve 2018). $hd &amp; $NKE +50% since sold. $dis up only 15% and $mcd same. and $ko flat. What's interesting is i sold all tech but $pd 2wks later only to cm bk in 2wks after that https://t.co/Q7ulA8VjP3
2020-06-23 07:36:43,BrianFeroldi,0,20875,$NKE IS VERY SMALL (OWNED BY MY KIDS).,"@nileshbutala Correct.

I don't own $SLP, $MITK, or $COUP.

My position in $NKE is very small (owned by my kids)."
2020-06-23 07:37:59,annieCdhondt1,0,5507,$NKERT @NETADVISOR: @THELEOTERRELL @FOXNEWS @SEANHANNITY @REALDONALDTRUMP CORPORATIONS PLEDGE ,"RT @NetAdvisor: @TheLeoTerrell @FoxNews @seanhannity @realDonaldTrump Corporations Pledge $1.6 Billion to BLM.

$ Pledged to rebuild looted…"
2020-06-23 07:41:05,RealPatriotsUSA,0,5336,$NKERT @NETADVISOR: @THELEOTERRELL @FOXNEWS @SEANHANNITY @REALDONALDTRUMP CORPORATIONS PLEDGE ,"RT @NetAdvisor: @TheLeoTerrell @FoxNews @seanhannity @realDonaldTrump Corporations Pledge $1.6 Billion to BLM.

$ Pledged to rebuild looted…"
