User_name,Freq,Score,Flr
Scarsbrook_G,4,960,240
3wombats,4,24452,6113
seekimm,4,508,127
Tashica4,4,392,98
TheHansIndiaWeb,4,24364,6091
Christi46119463,4,2792,698
World_ly,4,996,249
psimpsonmorgan,4,28208,7052
HarterPascal,4,1000,250
frawsy2010,4,2604,651
gorgeous_manon,4,9016,2254
ArianehSajadi,4,34716,8679
Kathie42172113,4,1048,262
NassimKhadem,4,34364,8591
sacourtreporter,4,2460,615
MelanieLybarger,4,32824,8206
EvansDonnell,4,9144,2286
SamSmith_PhD,4,1032,258
cestleiden,4,84,21
sensemakingstop,4,6408,1602
kishkafka,4,2512,628
paula_span,4,31400,7850
stanspak,4,31322,7830.5
heather63262308,4,9204,2301
LoraAneM,4,6384,1596
lmdepalacios,4,1016,254
gstuedler,4,29808,7452
carrollrayney4,4,9220,2305
nitesh001,4,6320,1580
BristolWPatch,4,9468,2367
AvrilBellon,4,8,2
TapityB,4,3260,815
bchups,4,10020,2505
mykii_mac,4,9912,2478
MajiJoan,4,68,17
Kristinazzz9191,4,3072,768
PoliticsPollss,4,20076,5019
sukemomo,4,304,76
RMR11Rock,4,19544,4886
UKBreturn,4,19492,4873
MarkReady47,4,3116,779
tasdionisakos,4,236,59
BillEsteem,4,18996,4749
sustainableuni1,4,11316,2829
ZephyrStone,4,236,59
richardupuy,4,3164,791
Fightkidscancer,4,10092,2523
rosammat,4,3172,793
wbaldeborah,4,18680,4670
suptmoran,4,5668,1417
slay4ever007,4,18072,4518
Nonnepossopi1,4,3252,813
EsoOrc,4,17920,4480
cmencke,4,5976,1494
stop1984,4,20968,5242
JustjojoB,4,3016,754
hrblock_21,4,9792,2448
woodswiz2,4,32,8
Mirrok,4,940,235
VerseUnion,4,2900,725
WaldenE,4,22672,5668
dcollinsWBAL,4,22608,5652
cmwheatley56,4,9628,2407
DataAugmented,4,22390,5597.5
WADDISASHEBA,4,928,232
ResearchBuzz,4,22276,5569
geegeebythesea,4,22208,5552
archietse,4,21960,5490
JimmyKranki,4,388,97
saintjeff52,4,6140,1535
WelshCelt,4,21720,5430
Cashprize,4,516,129
Tedsmith85,4,388,97
Mary_Tom11,4,2988,747
ponytail122,4,6052,1513
PullmanWA,4,21224,5306
wadakashiho,4,23360,5840
CabalGretas,4,3004,751
AmishScientist,4,1396,349
News4SA,4,796792,199198
theobserver,4,998452,249613
RachelEMarcus,4,1304,326
WorldCoronaInfo,4,1616,404
GlobalNational,4,780272,195068
WHO13news,4,315987,78996.75
KidsAreGreat1,4,1712,428
starsandstripes,4,1025971,256492.75
Laup561,4,1768,442
NewstalkFM,4,1029984,257496
wkyc,4,744861,186215.25
_gajarvis,4,1296,324
music_fan2020,4,1684,421
Gianni27vl,4,1712,428
kmbc,4,702652,175663
publicintegrity,4,511700,127925
StarAdvertiser,4,327292,81823
FOXNashville,4,378624,94656
BW,4,7065463,1766365.75
BlockClubCHI,4,525368,131342
ABCscience,4,235936,58984
UmbertoCiccole1,4,144,36
svnsetkoo,4,0,0
c21mehri,4,1476,369
WTNH,4,1090964,272741
kam3266,4,1440,360
njdotcom,4,2150056,537514
LocalMemphis,4,136612,34153
dallasnews,4,2816196,704049
australian,4,2951168,737792
GlobalEdmonton,4,867596,216899
Duncan_TheFox,4,1432,358
shamimahmedkha7,4,1516,379
Suntimes,4,2082786,520696.5
CollegeFootball,4,191852,47963
News_8,4,411836,102959
Monica_Wilcox,4,297296,74324
dailystar,4,822912,205728
subgap,4,410352,102588
DailyMailUK,4,1966656,491664
SlimShady274,4,1796,449
LeoSullivan88,4,120,30
MarieW_S,4,1440,360
sheeitballs,4,0,0
kelli_king66,4,440,110
john_hallw,4,1304,326
nbcchicago,4,1843223,460805.75
DailyHiveVan,4,1078896,269724
MinnPost,4,385524,96381
inforum,4,161420,40355
KTULNews,4,358704,89676
NBCConnecticut,4,1117672,279418
theheraldsun,4,1310404,327601
guen_tai,4,1348,337
ReutersUK,4,556258,139064.5
WMAR2News,4,144548,36137
DailyMail,4,1254968,313742
TopHealthClinic,4,1292,323
CNBC,4,15282778,3820694.5
JetBlac04998404,4,1352,338
Independent,4,13586135,3396533.75
masslivenews,4,345596,86399
bratz4457,4,140,35
MasterBenknott,4,140,35
FOX61News,4,568936,142234
Cleavon_MD,4,230321,57580.25
WMUR9,4,535188,133797
riotwomennn,4,364944,91236
ToBeSafeNSound,4,145648,36412
WFLA,4,647199,161799.75
Yvette45184087,4,144,36
FLpalmtree1,4,1736,434
OWHnews,4,603628,150907
gazettedotcom,4,215292,53823
AJCastorina,3,12,4
elpasotimes,3,406609,135536.3333
JaxDeeDee,3,3174,1058
TomWho4,3,18564,6188
